index,Location
"Huguenot Park, Jacksonville, Duval County",1
Off Jupiter,1
"Amelia Island, Nassau County",1
"Perdido Key, Escambia County",1
"Montaña de Oro State Park, San Luis Obispo County ",1
"Sandspit Beach, Montaña de Oro State Park ",1
"Mayport Naval Station Beach, Duval County",1
Talofofo Bay ,1
"Capitola, Santa Cruz County",1
"Palm Beach, Palm Beach County",1
Cortes Bank,1
"Between  Makena & Molokini, Maui",1
Off Tampa Bay,1
"Pelican Beach Park, Satellite Beach, Brevard County",1
Beaufort Inlet,1
"Surf Beach, Lompoc, Santa Barbara County",1
"Surfside, Orange County",1
Assateague National Seashore,1
"Shipyard Beach Club, Hilton Head Island, Beaufort County",1
"St. Augustine Beach, St. John's County",1
"Refugio State Beach, Santa Barbara County",1
"Crescent Beach, St Johns County",1
"Butler Beach, St Augustine,       St. Johns County",1
Waikoloa area,1
"Ship Bottom, Ocean County",1
"Off Snipe Point, Florida Keys, Monroe County",1
"Stuart Beach, Martin County",1
"Hugenot Beach , Jacksonville, Duval County",1
"Pillar Point, Half-Moon Bay, San Mateo County",1
"Orange Beach, Baldwin County",1
"Corners Beach, Jupiter, Palm Beach County",1
"Deer Creek Beach, Ventura County",1
Pigeon Point,1
"Santa Lucea Beach, South Hutchinson Island, St. Lucie County",1
"Ocracoke, Lifeguard Beach, National Park Service, Hyde County",1
"Big Talbot Island, Duval County",1
"""Stuart Rocks"", Martin County",1
"Wrightsville Beach, New Hanover County",1
"Ocracoke Island, Hyde County",1
Ormond Beach,1
"Tavares Bay, Maui",1
8 miles off Mobile,1
"Wilmington River, Chatham County",1
"Off Gloucester, Essec County",1
"Off Cape Hatteras, Dare County",1
"Kanaha Beach Park, Maui",1
"Capitola Beach, Santa Cruz County",1
"Moonstone Beach, South Kingstown, Washington County",1
Off Key Biscayne,1
"Shelter Cove, Humboldt County",1
"Kalapaki Beach, Kauai",1
"Surfside Beach, Brazoria County",1
